Name|Location|Transportation|URL
Wesley Allen|16 (Red Line)|100 N. Hamilton St.|http://www.wesleyallen.com
Wesley Hall Inc|18 (Red Line)|Hamilton Court S-106 - 310 N. Hamilton St., Floor 1Area: Hamilton/Wrenn District|http://www.wesleyhall.com
Westmoreland Woodworks|1 (Transportation Terminal)|3301 - Showplace, Floor 3|http://www.westmorelandwoodworks.com
Whiteline Imports LLC|1 (Transportation Terminal)|H538 - IHFC, Hamilton, Floor 5|http://www.whitelinemod.com
Whitewood Industries|3 (Green Line)|215 S. Main St.|http://www.whitewoodfurniture.com
Whittier Wood Furniture|1 (Transportation Terminal)|H1120 - IHFC, Hamilton, Floor 11|http://www.whittierwood.com
Winners Only|1 (Transportation Terminal)|M210 - IHFC, Main, Floor 2|http://www.winnersonly.com
Woodbridge Furniture|18 (Red Line)|- 320 N. Hamilton St., Floor 1Area: Hamilton/Wrenn District|http://www.woodbridgefurniture.com
Woodbrook Designs|4 (Green Line)|330 - 220 Elm, Level 3|http://www.woodbrook-designs.com
Woodbrook Designs Inc.|0 (Go Anywhere Shuttle)|. - 812 Millis, Floor 1|
Woodcrest Sales|3 (Green Line)|200 E. Green Dr.|http://www.woodcrestmfg.com
Worldwide Homefurnishings Inc.|1 (Transportation Terminal)|D1121 - IHFC, Design Center, Floor 11|http://www.worldwidehomefurnishingsinc.com
ZUO|1 (Transportation Terminal)|D502 - IHFC, Design Center, Floor 5|http://www.zuomod.com
